% BrO data: figure 14 from Theys et al., ACPD, 2010
% 12 columns: January->December
% 6 lines: South -> North
% All  values are expressed in (x 1e13 molec/cm²)

% BrO column

2.80 	 2.78 	 2.83 	 2.87 	 NaN 	  NaN 	 NaN 	 4.78 	 4.44 	 3.63 	 3.79 	 3.44
2.01 	 2.08 	 2.13 	 2.36 	 2.32 	 2.05 	 2.23 	 2.27 	 2.20 	 2.13 	 1.96 	 2.05
1.28 	 1.41 	 1.43 	 1.64 	 1.60 	 1.50 	 1.78 	 1.83 	 1.67 	 1.50 	 1.17 	 1.33
1.33 	 1.31 	 1.20 	 1.37 	 1.32 	 1.22 	 1.52 	 1.53 	 1.47 	 1.44 	 1.18 	 1.33
1.70 	 1.72 	 1.60 	 1.65 	 1.33 	 1.00 	 1.13 	 1.25 	 1.43 	 1.72 	 1.78 	 1.93
1.48 	 2.27 	 2.80 	 2.87 	 2.48 	 1.70 	 1.51 	 1.61 	 1.97 	 2.17 	 2.15 	 NaN

% BrO column (Std)

0.97 	 0.87 	 1.14 	 1.48 	 NaN 	  NaN 	  NaN 	 2.71 	 2.06 	 1.41 	 1.01 	 1.05
1.20 	 1.08 	 1.16 	 1.31 	 1.41 	 1.49 	 1.53 	 1.42 	 1.29 	 1.18 	 1.12 	 1.13
1.15 	 1.14 	 1.19 	 1.24 	 1.23 	 1.25 	 1.26 	 1.25 	 1.19 	 1.17 	 1.16 	 1.19
1.27 	 1.07 	 1.07 	 1.09 	 1.07 	 1.09 	 1.13 	 1.12 	 1.12 	 1.16 	 1.20 	 1.25
1.32 	 1.18 	 1.11 	 1.12 	 1.12 	 1.13 	 1.16 	 1.20 	 1.22 	 1.30 	 1.39 	 1.44
1.37 	 1.63 	 1.68 	 1.49 	 1.27 	 1.08 	 1.12 	 1.15 	 1.23 	 1.43 	 1.58 	 NaN

% BrO column (Error)

0.95 	 1.07 	 1.36 	 1.68 	 NaN 	  NaN 	 NaN 	 1.93 	 1.42 	 1.10 	 0.97 	 0.96
0.77 	 0.81 	 0.90 	 1.08 	 1.18 	 1.23 	 1.28 	 1.24 	 1.08 	 0.95 	 0.83 	 0.78
0.58 	 0.60 	 0.62 	 0.65 	 0.67 	 0.67 	 0.71 	 0.70 	 0.65 	 0.62 	 0.60 	 0.60
0.63 	 0.60 	 0.59 	 0.60 	 0.61 	 0.60 	 0.64 	 0.64 	 0.62 	 0.62 	 0.62 	 0.64
1.21 	 1.12 	 0.95 	 0.88 	 0.80 	 0.72 	 0.73 	 0.75 	 0.82 	 0.94 	 1.09 	 1.20
1.73 	 1.61 	 1.40 	 1.18 	 0.98 	 0.83 	 0.84 	 0.92 	 1.15 	 1.38 	 1.54 	 NaN
